inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
bank.csv pf,0.10591471801925723,0.109353507565337,0.11210453920220083,0.10660247592847318,0.10729023383768914,0.10522696011004126,0.10660247592847318,0.10797799174690509,0.10453920220082531,0.10660247592847318,0.10453920220082531,0.1062585969738652,0.10722145804676755,0.10660247592847318,0.10763411279229712,0.11210453920220083
bank.csv pf,0.13537414965986394,0.1489795918367347,0.1326530612244898,0.12993197278911564,0.13537414965986394,0.13673469387755102,0.1346938775510204,0.13197278911564625,0.13945578231292516,0.13129251700680272,0.12993197278911564,0.13231292517006804,0.13564625850340137,0.13503401360544218,0.13605442176870747,0.1489795918367347
bank.csv pf,0.12450066577896138,0.12716378162450068,0.12516644474034622,0.1311584553928096,0.12516644474034622,0.12316910785619174,0.12383488681757657,0.12649800266311584,0.1278295605858855,0.12383488681757657,0.12316910785619174,0.12416777629826897,0.12583222370173103,0.12516644474034622,0.12683089214380827,0.1311584553928096
bank.csv pf,0.1456445993031359,0.14425087108013937,0.14634146341463414,0.1505226480836237,0.1456445993031359,0.14912891986062718,0.1456445993031359,0.1421602787456446,0.14494773519163764,0.14076655052264808,0.14076655052264808,0.1445993031358885,0.14550522648083625,0.1456445993031359,0.14599303135888503,0.1505226480836237
bank.csv pf,0.1380952380952381,0.13673469387755102,0.13333333333333333,0.13945578231292516,0.1414965986394558,0.1380952380952381,0.14217687074829932,0.1380952380952381,0.13537414965986394,0.13945578231292516,0.13333333333333333,0.13741496598639458,0.1382312925170068,0.1380952380952381,0.13945578231292516,0.14217687074829932
bank.csv pf,0.12542837559972583,0.13159698423577793,0.12679917751884853,0.13228238519533927,0.13091158327621658,0.12679917751884853,0.13365318711446195,0.13502398903358465,0.13159698423577793,0.1439342015078821,0.12542837559972583,0.12885538039753255,0.1318026045236463,0.13159698423577793,0.13296778615490062,0.1439342015078821
bank.csv pf,0.1313969571230982,0.13416320885200553,0.13070539419087138,0.1334716459197787,0.14107883817427386,0.14107883817427386,0.13485477178423236,0.1376210235131397,0.1376210235131397,0.13070539419087138,0.13070539419087138,0.13243430152143845,0.13526970954356848,0.13450899031811894,0.1376210235131397,0.14107883817427386
bank.csv pf,0.14715719063545152,0.1451505016722408,0.14581939799331103,0.14046822742474915,0.14983277591973243,0.1491638795986622,0.15183946488294314,0.15117056856187291,0.1451505016722408,0.14715719063545152,0.14046822742474915,0.14548494983277593,0.14729096989966553,0.14715719063545152,0.1494983277591973,0.15183946488294314
bank.csv pf,0.1396957123098202,0.13831258644536654,0.1459197786998617,0.1459197786998617,0.1459197786998617,0.1417704011065007,0.1459197786998617,0.1376210235131397,0.1376210235131397,0.13485477178423236,0.13485477178423236,0.13796680497925312,0.1413554633471646,0.14073305670816044,0.1459197786998617,0.1459197786998617
bank.csv pf,0.13672922252010725,0.1306970509383378,0.13136729222520108,0.12935656836461126,0.12265415549597855,0.12198391420911528,0.128686327077748,0.12935656836461126,0.12734584450402145,0.12667560321715818,0.12198391420911528,0.1270107238605898,0.12848525469168898,0.12902144772117963,0.13002680965147453,0.13672922252010725
