inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
jedit-3.2.csv pf,0.2,0.2,0.18571428571428572,0.24285714285714285,0.21428571428571427,0.21428571428571427,0.18571428571428572,0.2,0.21428571428571427,0.2571428571428571,0.18571428571428572,0.2,0.21142857142857138,0.20714285714285713,0.21428571428571427,0.2571428571428571,0.021946130708196013
jedit-3.2.csv pf,0.1875,0.21875,0.203125,0.1875,0.21875,0.1875,0.21875,0.203125,0.21875,0.203125,0.1875,0.1953125,0.2046875,0.203125,0.21875,0.21875,0.012979099785809493
jedit-3.2.csv pf,0.3076923076923077,0.3230769230769231,0.3230769230769231,0.3384615384615385,0.3384615384615385,0.2923076923076923,0.2923076923076923,0.3076923076923077,0.3230769230769231,0.2923076923076923,0.2923076923076923,0.30000000000000004,0.31384615384615383,0.3153846153846154,0.3230769230769231,0.3384615384615385,0.017131582654861605
jedit-3.2.csv pf,0.18840579710144928,0.21739130434782608,0.2318840579710145,0.18840579710144928,0.21739130434782608,0.21739130434782608,0.2318840579710145,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.18840579710144928,0.21739130434782608,0.21449275362318843,0.21739130434782608,0.21739130434782608,0.2318840579710145,0.014199940537873495
jedit-3.2.csv pf,0.25,0.22058823529411764,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.22058823529411764,0.23529411764705882,0.22058823529411764,0.22058823529411764,0.22794117647058823,0.2323529411764706,0.23529411764705882,0.23529411764705882,0.25,0.008823529411764707
jedit-3.2.csv pf,0.3116883116883117,0.24675324675324675,0.33766233766233766,0.3116883116883117,0.2727272727272727,0.3246753246753247,0.2857142857142857,0.37662337662337664,0.2597402597402597,0.2857142857142857,0.24675324675324675,0.2792207792207792,0.3012987012987013,0.2987012987012987,0.3181818181818182,0.37662337662337664,0.03709832949892391
jedit-3.2.csv pf,0.25,0.3472222222222222,0.2916666666666667,0.20833333333333334,0.3055555555555556,0.3333333333333333,0.2638888888888889,0.3055555555555556,0.2361111111111111,0.25,0.20833333333333334,0.25,0.2791666666666667,0.2777777777777778,0.3055555555555556,0.3472222222222222,0.042332640705911584
jedit-3.2.csv pf,0.352112676056338,0.39436619718309857,0.28169014084507044,0.36619718309859156,0.3380281690140845,0.30985915492957744,0.28169014084507044,0.4084507042253521,0.29577464788732394,0.3380281690140845,0.28169014084507044,0.3028169014084507,0.33661971830985915,0.3380281690140845,0.35915492957746475,0.4084507042253521,0.04246426318783474
jedit-3.2.csv pf,0.2878787878787879,0.2727272727272727,0.16666666666666666,0.25757575757575757,0.18181818181818182,0.18181818181818182,0.21212121212121213,0.16666666666666666,0.21212121212121213,0.24242424242424243,0.16666666666666666,0.18181818181818182,0.21818181818181817,0.21212121212121213,0.25,0.2878787878787879,0.04242424242424242
jedit-3.2.csv pf,0.2,0.21428571428571427,0.2,0.22857142857142856,0.21428571428571427,0.22857142857142856,0.24285714285714285,0.2,0.2571428571428571,0.17142857142857143,0.17142857142857143,0.2,0.2157142857142857,0.21428571428571427,0.22857142857142856,0.2571428571428571,0.023430313524081026
