inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
ant-1.3.csv recall,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.851389114294502e-17
ant-1.3.csv recall,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.20833333333333331,0.3,0.3333333333333333,0.3333333333333333,0.5,0.10540925533894598
ant-1.3.csv recall,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.5428571428571428,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0903507902905251
ant-1.3.csv recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
ant-1.3.csv recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
ant-1.3.csv recall,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0
ant-1.3.csv recall,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0
ant-1.3.csv recall,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5999999999999999,0.6,0.6,0.6,1.1702778228589004e-16
ant-1.3.csv recall,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.925694557147251e-17
ant-1.3.csv recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
ant-1.4.csv recall,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5,0.75,0.5,0.5,0.5,0.5,0.55,0.5,0.5833333333333334,0.75,0.08050764858994132
ant-1.4.csv recall,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.21052631578947367,0.3684210526315789,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.36315789473684207,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.057921312348137466
ant-1.4.csv recall,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
ant-1.4.csv recall,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.3888888888888889,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.3888888888888889,0.5555555555555556,0.5611111111111111,0.5555555555555556,0.6388888888888888,0.6666666666666666,0.0924072218509233
ant-1.4.csv recall,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5,0.5714285714285714,0.5571428571428572,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.030116930096841694
ant-1.4.csv recall,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.0
ant-1.4.csv recall,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5294117647058824,0.5882352941176471,0.5823529411764705,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.018601633295108118
ant-1.4.csv recall,0.5,0.5,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4714285714285714,0.5,0.5,0.5,0.03688555567816589
