inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
jedit-3.2.csv pf,0.17333333333333334,0.17333333333333334,0.18666666666666668,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.18666666666666668,0.17333333333333334,0.16,0.17333333333333334,0.16,0.17333333333333334,0.17466666666666666,0.17333333333333334,0.17333333333333334,0.18666666666666668,0.007568616162633957
jedit-3.2.csv pf,0.24615384615384617,0.2153846153846154,0.24615384615384617,0.26153846153846155,0.27692307692307694,0.27692307692307694,0.2923076923076923,0.23076923076923078,0.27692307692307694,0.23076923076923078,0.2153846153846154,0.23846153846153847,0.25538461538461543,0.25384615384615383,0.27692307692307694,0.2923076923076923,0.025331464687648145
jedit-3.2.csv pf,0.29508196721311475,0.2786885245901639,0.2786885245901639,0.2786885245901639,0.3114754098360656,0.2786885245901639,0.26229508196721313,0.2786885245901639,0.2786885245901639,0.29508196721311475,0.26229508196721313,0.2786885245901639,0.28360655737704915,0.2786885245901639,0.28688524590163933,0.3114754098360656,0.013496272169648604
jedit-3.2.csv pf,0.3194444444444444,0.3888888888888889,0.4305555555555556,0.4027777777777778,0.4027777777777778,0.3472222222222222,0.3611111111111111,0.3194444444444444,0.4027777777777778,0.3611111111111111,0.3194444444444444,0.35416666666666663,0.3736111111111111,0.375,0.4027777777777778,0.4305555555555556,0.03786686119755285
jedit-3.2.csv pf,0.4,0.4153846153846154,0.4153846153846154,0.4,0.4153846153846154,0.4307692307692308,0.4153846153846154,0.4,0.4,0.4,0.4,0.4,0.4092307692307692,0.4076923076923077,0.4153846153846154,0.4307692307692308,0.010757013827386171
jedit-3.2.csv pf,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.3333333333333333,0.3472222222222222,0.3194444444444444,0.3611111111111111,0.3194444444444444,0.3333333333333333,0.3416666666666667,0.3333333333333333,0.35416666666666663,0.3611111111111111,0.014930106941293618
jedit-3.2.csv pf,0.20588235294117646,0.3088235294117647,0.29411764705882354,0.25,0.25,0.19117647058823528,0.20588235294117646,0.25,0.22058823529411764,0.27941176470588236,0.19117647058823528,0.21323529411764705,0.2455882352941176,0.25,0.2647058823529412,0.3088235294117647,0.039853875733682056
jedit-3.2.csv pf,0.328125,0.296875,0.3125,0.296875,0.3125,0.3125,0.328125,0.328125,0.3125,0.296875,0.296875,0.3046875,0.3125,0.3125,0.3203125,0.328125,0.01275775907699572
jedit-3.2.csv pf,0.3287671232876712,0.3424657534246575,0.3698630136986301,0.3424657534246575,0.3424657534246575,0.3972602739726027,0.3698630136986301,0.3424657534246575,0.3561643835616438,0.3424657534246575,0.3287671232876712,0.3424657534246575,0.3534246575342466,0.3424657534246575,0.363013698630137,0.3972602739726027,0.020215473626647173
jedit-3.2.csv pf,0.2835820895522388,0.26865671641791045,0.31343283582089554,0.31343283582089554,0.31343283582089554,0.373134328358209,0.3582089552238806,0.2835820895522388,0.2835820895522388,0.3283582089552239,0.26865671641791045,0.2835820895522388,0.31194029850746274,0.31343283582089554,0.32089552238805974,0.373134328358209,0.034071430185599876
ivy-2.0.csv pf,0.2358490566037736,0.20754716981132076,0.2358490566037736,0.2358490566037736,0.22641509433962265,0.2169811320754717,0.22641509433962265,0.2358490566037736,0.2358490566037736,0.25471698113207547,0.20754716981132076,0.22641509433962265,0.23113207547169812,0.2358490566037736,0.2358490566037736,0.25471698113207547,0.012773645290308111
ivy-2.0.csv pf,0.2845528455284553,0.34146341463414637,0.34146341463414637,0.3089430894308943,0.3008130081300813,0.3089430894308943,0.3008130081300813,0.35772357723577236,0.3333333333333333,0.3333333333333333,0.2845528455284553,0.30487804878048785,0.32113821138211385,0.32113821138211385,0.33739837398373984,0.35772357723577236,0.02339116057131716
ivy-2.0.csv pf,0.21100917431192662,0.23853211009174313,0.3302752293577982,0.2018348623853211,0.1926605504587156,0.21100917431192662,0.1743119266055046,0.26605504587155965,0.25688073394495414,0.24770642201834864,0.1743119266055046,0.20642201834862386,0.23302752293577983,0.22477064220183487,0.2522935779816514,0.3302752293577982,0.04519376930131172
ivy-2.0.csv pf,0.2542372881355932,0.2711864406779661,0.2288135593220339,0.2457627118644068,0.2457627118644068,0.2457627118644068,0.2542372881355932,0.2288135593220339,0.2542372881355932,0.2542372881355932,0.2288135593220339,0.2457627118644068,0.2483050847457627,0.25,0.2542372881355932,0.2711864406779661,0.012664695916079032
ivy-2.0.csv pf,0.15178571428571427,0.15178571428571427,0.15178571428571427,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.15178571428571427,0.16071428571428573,0.16071428571428573,0.15178571428571427,0.15178571428571427,0.15178571428571427,0.15625,0.15625,0.16071428571428573,0.16071428571428573,0.004705770327631529
ivy-2.0.csv pf,0.13636363636363635,0.15454545454545454,0.16363636363636364,0.16363636363636364,0.15454545454545454,0.13636363636363635,0.17272727272727273,0.16363636363636364,0.17272727272727273,0.15454545454545454,0.13636363636363635,0.15454545454545454,0.15727272727272726,0.1590909090909091,0.16363636363636364,0.17272727272727273,0.012892149931019791
ivy-2.0.csv pf,0.16521739130434782,0.16521739130434782,0.14782608695652175,0.16521739130434782,0.1565217391304348,0.1391304347826087,0.16521739130434782,0.17391304347826086,0.16521739130434782,0.16521739130434782,0.1391304347826087,0.16086956521739132,0.1608695652173913,0.16521739130434782,0.16521739130434782,0.17391304347826086,0.010247924365022422
ivy-2.0.csv pf,0.19626168224299065,0.17757009345794392,0.17757009345794392,0.21495327102803738,0.205607476635514,0.19626168224299065,0.17757009345794392,0.19626168224299065,0.205607476635514,0.17757009345794392,0.17757009345794392,0.17757009345794392,0.19252336448598129,0.19626168224299065,0.20093457943925233,0.21495327102803738,0.014070516873066936
