inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
bank_marketing pf,0.14773519163763066,0.1456445993031359,0.14912891986062718,0.14634146341463414,0.1456445993031359,0.14982578397212543,0.14634146341463414,0.154006968641115,0.14773519163763066,0.14912891986062718,0.1456445993031359,0.14634146341463414,0.14815331010452962,0.14773519163763066,0.14912891986062718,0.154006968641115,0.0024180280937836215
bank_marketing pf,0.1478201634877384,0.14645776566757493,0.14100817438692098,0.14577656675749318,0.14237057220708446,0.1505449591280654,0.14305177111716622,0.14305177111716622,0.1444141689373297,0.14237057220708446,0.14100817438692098,0.14271117166212532,0.1446866485013624,0.14373297002724794,0.14611716621253407,0.1505449591280654,0.0027954066115372187
bank_marketing pf,0.13830508474576272,0.14711864406779662,0.14915254237288136,0.13966101694915253,0.14711864406779662,0.1464406779661017,0.14576271186440679,0.13966101694915253,0.14508474576271185,0.14372881355932204,0.13830508474576272,0.14169491525423727,0.14420338983050845,0.1454237288135593,0.14677966101694917,0.14915254237288136,0.003549461725480254
bank_marketing pf,0.13520933424845574,0.13246396705559368,0.13520933424845574,0.13726835964310227,0.13589567604667124,0.1393273850377488,0.13177762525737818,0.13109128345916266,0.13658201784488674,0.13589567604667124,0.13109128345916266,0.1338366506520247,0.13507206588881263,0.1355525051475635,0.13623884694577898,0.1393273850377488,0.002451691297116233
bank_marketing pf,0.15479274611398963,0.15155440414507773,0.1489637305699482,0.15284974093264247,0.1489637305699482,0.15025906735751296,0.15220207253886012,0.14702072538860103,0.14637305699481865,0.15155440414507773,0.14637305699481865,0.1489637305699482,0.15045336787564767,0.15090673575129535,0.15187823834196892,0.15479274611398963,0.002509244899975457
bank_marketing pf,0.15384615384615385,0.15939015939015938,0.1496881496881497,0.158004158004158,0.14899514899514898,0.15592515592515593,0.15661815661815662,0.16146916146916146,0.15176715176715178,0.15523215523215522,0.14899514899514898,0.15280665280665282,0.15509355509355507,0.15557865557865558,0.1573111573111573,0.16146916146916146,0.0038684090746924056
bank_marketing pf,0.13579387186629527,0.12465181058495822,0.13579387186629527,0.133008356545961,0.13649025069637882,0.13231197771587744,0.1371866295264624,0.13788300835654596,0.13440111420612813,0.13231197771587744,0.12465181058495822,0.13266016713091922,0.13398328690807798,0.1350974930362117,0.13614206128133705,0.13788300835654596,0.003634537145041751
bank_marketing pf,0.14038589487691283,0.1370592149035263,0.13972055888223553,0.13905522288755823,0.13439787092481703,0.13972055888223553,0.1383898868928809,0.13905522288755823,0.12840984697272123,0.13572854291417166,0.12840984697272123,0.13639387890884896,0.13719228210246176,0.13872255489021956,0.1393878908848969,0.14038589487691283,0.003441787666367945
bank_marketing pf,0.14982817869415807,0.14982817869415807,0.15326460481099657,0.15257731958762888,0.15945017182130583,0.15326460481099657,0.15257731958762888,0.15120274914089346,0.15395189003436427,0.16151202749140894,0.14982817869415807,0.15189003436426118,0.15374570446735397,0.15292096219931273,0.15360824742268042,0.16151202749140894,0.0036503839793510665
bank_marketing pf,0.13877551020408163,0.13877551020408163,0.15306122448979592,0.1435374149659864,0.1414965986394558,0.14285714285714285,0.1401360544217687,0.1489795918367347,0.14285714285714285,0.14081632653061224,0.13877551020408163,0.14047619047619048,0.14312925170068025,0.14217687074829932,0.14319727891156464,0.15306122448979592,0.004336701347077343
